Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
250,8/16/07,Hewlett Packard Company,Electronic,,52,Yes,,,,Yes,,Yes
252,9/11/07,Kraft Foods,Electronic,,460,Yes,,,,Yes,,Yes
244,9/12/07,The Hartford,Electronic,,18,Yes,Yes,,,Yes,,
270,9/21/07,Symantec Corporation,Undefined,,1,Yes,,,,Yes,,
243,10/5/07,The Hartford,Electronic,,,Yes,,Yes,,,,Yes
245,10/9/07,Daymon Worldwide Inc.,Electronic,,1416,Yes,,,,,,
17,10/20/07,Blockbuster Video,Electronic,,86,,,Yes,Yes,,,Yes
268,10/26/07,American Academy of Pediatrics,Electronic,,7,Yes,,,,Yes,,Yes
257,10/30/07,New England School of Law,Electronic,,2870,Yes,,,,,,
255,11/3/07,MeadWestvaco,Electronic,,586,Yes,,,,Yes,,
25,11/7/07,Computershare,Electronic,,2,Yes,Yes,,,Yes,Yes,
24,11/14/07,The Commonwealth of MA - Executive Office of Elder Affairs,Paper,,2,,Yes,,,,,
248,11/16/07,The Horace Mann Companies,Undefined,,1,Yes,,,,,,Yes
236,11/16/07,Harvard University,Paper,,41,Yes,,,,,,
235,11/23/07,General Cable,Electronic,,19,Yes,,,,,,
16,11/26/07,Beth Israel Deaconess Family Medicine,Paper,,53,Yes,,,,,,
249,11/30/07,HellerEhrman LLP,Electronic,,1,Yes,,,,Yes,,Yes
215,12/3/07,Fidelity Investments,Electronic,,73,Yes,Yes,,,,,
260,12/3/07,"Oracle USA, Inc.",Electronic,,78,Yes,,,,Yes,,Yes
263,12/3/07,Prudential Financial,Electronic,,954,Yes,Yes,,,Yes,,
261,12/4/07,Ortho-Clinical Diganostics,Electronic,,23,Yes,,,,,,
259,12/6/07,The Northwestern Mutual Life Insurance Company,Paper,,3,Yes,,,,Yes,,
14168,12/6/07,Northwestern Mutual,Paper,Yes,3,Yes,,,,Yes,,
239,12/17/07,"Peerless Industries, Inc.",Electronic,,33,,,,Yes,,Yes,Yes
240,12/18/07,"Forrester Research, Inc.",Electronic,,986,Yes,,,,Yes,,Yes
12,12/18/07,210 Footwear Foundation,Paper,,8,,,,Yes,,,
