,Breach Type Description_Both,Breach Type Description_Electronic,Breach Type Description_Paper,Breach Type Description_Undefined,Date Reported To OCA,Organization Name,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen,Keywords,Organization Categories
0,0.0,1.0,0.0,0.0,2007-08-16,Hewlett Packard Company,False,52.0,True,False,False,False,True,False,True,"['packard', 'company', 'hewlett']",Technology
1,0.0,1.0,0.0,0.0,2007-09-11,Kraft Foods,False,460.0,True,False,False,False,True,False,True,"['kraft', 'foods']",Other
2,0.0,1.0,0.0,0.0,2007-09-12,The Hartford,False,18.0,True,True,False,False,True,False,False,['hartford'],Finance
3,0.0,0.0,0.0,1.0,2007-09-21,Symantec Corporation,False,1.0,True,False,False,False,True,False,False,"['symantec', 'corporation']",Technology
5,0.0,1.0,0.0,0.0,2007-10-09,Daymon Worldwide Inc.,False,1416.0,True,False,False,False,False,False,False,"['worldwide', 'inc', 'daymon']",Corporation
6,0.0,1.0,0.0,0.0,2007-10-20,Blockbuster Video,False,86.0,False,False,True,True,False,False,True,"['video', 'blockbuster']",Other
7,0.0,1.0,0.0,0.0,2007-10-26,American Academy of Pediatrics,False,7.0,True,False,False,False,True,False,True,"['pediatrics', 'american', 'academy']",Technology
8,0.0,1.0,0.0,0.0,2007-10-30,New England School of Law,False,2870.0,True,False,False,False,False,False,False,"['new', 'england', 'law', 'school']",Other
9,0.0,1.0,0.0,0.0,2007-11-03,MeadWestvaco,False,586.0,True,False,False,False,True,False,False,['meadwestvaco'],Corporation
10,0.0,0.0,1.0,0.0,2007-11-07,Computershare,False,2.0,True,True,False,False,True,True,False,['computershare'],Finance
11,0.0,0.0,0.0,1.0,2007-11-14,The Commonwealth of MA - Executive Office of Elder Affairs,False,2.0,False,True,False,False,False,False,False,"['office', 'executive', 'affairs', 'commonwealth', 'elder']",Corporation
12,0.0,0.0,1.0,0.0,2007-11-16,The Horace Mann Companies,False,1.0,True,False,False,False,False,False,True,"['mann', 'horace', 'companies']",Finance
13,0.0,1.0,0.0,0.0,2007-11-16,Harvard University,False,41.0,True,False,False,False,False,False,False,"['harvard', 'university']",Other
14,0.0,0.0,1.0,0.0,2007-11-23,General Cable,False,19.0,True,False,False,False,False,False,False,"['general', 'cable']",Technology
15,0.0,1.0,0.0,0.0,2007-11-26,Beth Israel Deaconess Family Medicine,False,53.0,True,False,False,False,False,False,False,"['family', 'medicine', 'beth', 'deaconess', 'israel']",Healthcare
16,0.0,1.0,0.0,0.0,2007-11-30,HellerEhrman LLP,False,1.0,True,False,False,False,True,False,True,"['hellerehrman', 'llp']",Other
