Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
24767,1/2/22,North Broward Hospital District d/b/a Broward Health,Electronic,,3679,Yes,,,,Yes,,
24766,1/3/22,WINCHESTER SAVINGS BANK,Electronic,,5,,,,Yes,,,
24765,1/3/22,WINCHESTER SAVINGS BANK,Electronic,,4,,,,Yes,,,
24764,1/3/22,SAVERS BANK,Electronic,,8,,,,Yes,,,
24763,1/3/22,SAVERS BANK,Electronic,,1,,,,Yes,,,
24762,1/3/22,Stevens & Lee,Electronic,Yes,1836,Yes,Yes,Yes,,Yes,,
24761,1/3/22,Ravkoo,Electronic,Yes,1517,,,,,Yes,,
24760,1/3/22,Ravkoo,Electronic,,1,,,,Yes,,,
24759,1/3/22,Hand Arendall Harrison Sale LLC,Electronic,Yes,5,Yes,,,,Yes,,
24787,1/4/22,"Bob¶s Red Mill Natural Foods, Inc.",Electronic,Yes,16,Yes,,Yes,,Yes,,
24786,1/4/22,Franklin Park Conservatory and Botanical Gardens,Electronic,Yes,12,Yes,Yes,,,,,
24783,1/4/22,"Johns Eastern Company, Inc.",Electronic,Yes,3,Yes,,,,Yes,,
24770,1/4/22,Fertility Centers of Illinois,Electronic,Yes,12,Yes,,,,Yes,,
28830,1/5/22,"Bread Financial Payments, Inc.",Electronic,,6,,,,Yes,Yes,,
24782,1/5/22,"American Express Travel Related Services Company, Inc.",Electronic,,3,,,,Yes,,,
24781,1/5/22,National Integrity Life Insurance Company,Electronic,Yes,1,,Yes,,,Yes,,
24780,1/5/22,"Marlabs, Inc.",Electronic,Yes,158,Yes,Yes,,,Yes,,
24779,1/5/22,"American Express Travel Related Services Company, Inc.",Electronic,,1,,,,Yes,,,
24778,1/5/22,Integrity Life Insurance Company,Electronic,Yes,1,,Yes,,,Yes,,
24777,1/5/22,"Smith System Driver Improvement Institute, Inc.",Electronic,Yes,11,,,,Yes,,,
24771,1/5/22,"Florida Digestive Health Specialists, LLP",Electronic,Yes,51,Yes,Yes,,,Yes,,
24796,1/6/22,South Shore Bank,Electronic,Yes,1,Yes,,,,Yes,,
24795,1/6/22,"James Kagan, MD",Electronic,Yes,1,,,,,,,
24794,1/6/22,Jefferson Surgical Clinic,Electronic,Yes,39,Yes,,,,Yes,,
24791,1/6/22,"Wells Fargo Clearing Services, LLC",Electronic,,1,Yes,Yes,,,Yes,,
24790,1/6/22,Watertown Savings Bank,Electronic,,7,,,,Yes,,,
24789,1/6/22,"American Express Travel Related Services Company, Inc.",Electronic,,1,,,,Yes,,,
24776,1/6/22,Rockland Trust,Electronic,Yes,1,,Yes,,,Yes,,
24775,1/6/22,Rockland Trust,Electronic,Yes,2,,Yes,,,Yes,,
18553,1/6/22,"American Express Travel Related Services Company, Inc",Electronic,,5,,,,Yes,,,
25770,1/7/22,Bank of America,Paper,Yes,1,Yes,,,,Yes,,
25768,1/7/22,Webster Five Cents Savings Bank,Electronic,,4,,,,Yes,,,
25767,1/7/22,"JPMorgan Chase Bank, N.A.",Electronic,Yes,1,,Yes,,,,,
25766,1/7/22,"Day-Lee Foods, Inc.",Electronic,Yes,4,Yes,,,,Yes,,
25765,1/7/22,"American Express Travel Related Services Company, Inc",Electronic,,1,,,,Yes,,,
25764,1/7/22,"Suncoast One Title & Closings, Inc.",Electronic,Yes,10,Yes,,Yes,,Yes,,
25763,1/7/22,Feldesman Tucker Leifer Fidell LLP,Electronic,Yes,29,Yes,,,,Yes,,
25762,1/7/22,Monroe Public Schools,Electronic,Yes,1,Yes,,,,Yes,,
25761,1/7/22,"Bird, Marella, Boxer, Wolpert, Nessim, Drooks, Lincenberg & Rhow, P.C.",Electronic,Yes,1,,Yes,,,Yes,,
25760,1/7/22,Eden Housing,Electronic,Yes,2,Yes,Yes,Yes,,Yes,,
25759,1/7/22,KIND LLC,Electronic,,11,Yes,,,,Yes,,
24798,1/7/22,Beth Israel Deaconess Medical Center,Electronic,Yes,1,Yes,,,,Yes,,
24797,1/7/22,Eastern Los Angeles Regional Center,Electronic,Yes,3,Yes,,,,Yes,,
24793,1/7/22,Charles River Apparel,Electronic,Yes,200,Yes,,,,Yes,,
24792,1/7/22,Thornburg Investment Management,Electronic,,136,Yes,Yes,,,Yes,,
25774,1/10/22,Minnesota Statewide Limited Energy J.A.T.C.,Electronic,Yes,1,Yes,,,,Yes,,
25773,1/10/22,The Village Bank,Electronic,,3,,Yes,,Yes,,,
25771,1/10/22,Little Giant Ladder Systems,Electronic,Yes,1,Yes,,,,Yes,,
25769,1/10/22,St. Mary's Credit Union,Electronic,,10,,,,Yes,,,
25779,1/11/22,J.McLaughlin,Electronic,Yes,15,Yes,Yes,Yes,,Yes,,Yes
25778,1/11/22,"Tate's Wholesale, LLC",Electronic,Yes,1,Yes,,,,Yes,,
25776,1/11/22,Adams Community Bank,Electronic,,3,,,,Yes,,,
25775,1/11/22,"Venafi, Inc.",Electronic,Yes,9,Yes,Yes,,,Yes,,
25772,1/11/22,SAVERS BANK,Electronic,,1,,,,Yes,,,
25784,1/12/22,"BCP Securities, LLC",Electronic,Yes,2,Yes,Yes,,,Yes,,
25783,1/12/22,Marietta Area Health Care Inc. dba Memorial Health System,Electronic,Yes,60,Yes,,,,Yes,,
25782,1/12/22,"Rollins Financial Advisors, LLC",Electronic,Yes,6,Yes,Yes,,,Yes,,
25781,1/12/22,West Plains Bank and Trust Company,Electronic,Yes,1,Yes,Yes,,,Yes,,
25780,1/12/22,"C Squared Systems, LLC",Electronic,Yes,1,Yes,,,,Yes,,
25777,1/12/22,Harder+Company Community Research,Electronic,Yes,4,Yes,,,,Yes,,
25795,1/13/22,Wangs Alliance Corporation,Electronic,Yes,9,Yes,,,Yes,Yes,,
25794,1/13/22,MutualOne Bank,Electronic,,1,,,,Yes,,,
25792,1/13/22,Millennium Eye Care LLC,Electronic,Yes,2,,,,,,,
25791,1/13/22,"JPMorgan Chase Bank, N.A.",Paper,,5,,Yes,,,,,
25790,1/13/22,TCW,Electronic,Yes,2,Yes,Yes,,,Yes,,
25789,1/13/22,Mutual One Bank,Electronic,,1,,,,Yes,,,
25788,1/13/22,MutualOne Bank,Electronic,,1,,,,Yes,,,
25787,1/13/22,Sherril House,Electronic,Yes,3367,Yes,Yes,Yes,,Yes,,
25786,1/13/22,Medical Review Institute of America,Electronic,Yes,2087,Yes,Yes,,,Yes,,
25785,1/13/22,Allegheny Financial Group,Electronic,Yes,7,,Yes,,,Yes,,
25807,1/14/22,Boxer Property Management Corporation,Electronic,Yes,4,Yes,,,,Yes,,
25806,1/14/22,"Rimkus Consulting Group, Inc.",Electronic,Yes,44,Yes,Yes,Yes,,Yes,,
25805,1/14/22,American Family Life Insurance Company,Electronic,Yes,102,,,Yes,,Yes,,
25804,1/14/22,Catania-Spagna Corporation,Electronic,Yes,439,Yes,Yes,Yes,,Yes,,
25803,1/14/22,"Grandizio Wilkins Little & Matthews, LLP",Electronic,Yes,206,Yes,Yes,Yes,Yes,Yes,,
25802,1/14/22,NeuroLogica Corp.,Electronic,Yes,3,Yes,,,Yes,Yes,,
25799,1/14/22,Connecticut Association for the Performing Arts dba Shubert Theatre,Electronic,Yes,2,Yes,,,,Yes,,
25798,1/14/22,Brighton Securities Corp,Electronic,Yes,1,Yes,,Yes,,Yes,,
