,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen,Organization Categories
0,2020-01-02,North Shore Medical Center,Electronic,True,1.0,True,False,False,False,True,False,False,USA Managed Care Organization – Cleveland Clinic main campus and Akron General only. ... Fida North Shore-LIJ Medicare – Cleveland Clinic main campus only. Humana ...
1,2020-01-02,Savers Bank,Electronic,False,1.0,False,False,False,True,False,False,False,A mutual savings bank is a type of thrift institution originally designed to serve low-income individuals. more. Related Articles.
2,2020-01-02,Mutual One Bank,Electronic,False,1.0,False,False,False,True,False,False,False,"Oct 18, 2022 ... Also known as savings & loan or building & loan associations (Ponce Bank was founded as Ponce de Leon Federal Savings & Loan Association), ..."
3,2020-01-02,Main Street Bank,Electronic,False,1.0,False,False,False,True,False,False,False,High street bank is a term that originated in the U.K. for large retail banks with many locations and a diverse selection of banking services.
4,2020-01-02,Main Street Bank,Electronic,False,1.0,False,False,False,True,False,False,False,High street bank is a term that originated in the U.K. for large retail banks with many locations and a diverse selection of banking services.
5,2020-01-02,Rockland Trust Company,Electronic,True,1.0,False,True,False,False,False,False,False,"Rockland Trust Co., which opened two branches in Worcester last year, has named two new people to its board, concurrently with parent company Independent ..."
6,2020-01-02,"American Express Travel Related Services Company, Inc",Electronic,False,16.0,False,False,False,True,False,False,False,"Assigned to AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC. ... company having a large consumer service call center to identify specific types of consumers ..."
7,2020-01-02,Plancorp LLC,Electronic,True,2.0,True,True,False,False,True,False,False,"Jun 29, 2014 ... ... LLC. 2400 Pershing Road, Suite 500. Kansas City, Mo., 64108. Number of ... Areas of practice: Corporate law including formation of all types of ..."
8,2020-01-02,"American Express Travel Related Services Company, Inc.",Electronic,False,2.0,False,False,False,True,False,False,False,"Assigned to AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC. ... company having a large consumer service call center to identify specific types of consumers ..."
9,2020-01-02,"Robbins Brothers Jewelry, Inc.",Electronic,True,1.0,False,False,True,False,True,False,False,"Jun 9, 2021 ... Bario-Neal Kalmia Sky Blue Sapphire ring One-of-a-kind Kalmia ring in ... Lab-Grown Pioneer Robbins Brothers Talking More About Natural Diamonds."
10,2020-01-02,"American Express Travel Related Services Company, Inc",Electronic,False,4.0,False,False,False,True,False,False,False,"Assigned to AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC. ... company having a large consumer service call center to identify specific types of consumers ..."
11,2020-01-02,Rockland Trust Company,Paper,True,1.0,False,True,False,False,True,False,False,"Rockland Trust Co., which opened two branches in Worcester last year, has named two new people to its board, concurrently with parent company Independent ..."
12,2020-01-02,Rockland Trust company,Paper,False,1.0,False,True,False,False,True,False,False,"Rockland Trust Co., which opened two branches in Worcester last year, has named two new people to its board, concurrently with parent company Independent ..."
13,2020-01-02,St. Mary's Credit Union,Electronic,False,1.0,False,False,False,True,False,False,False,"Easily access all of your accounts and features right at your fingertips with our mobile app. Manage your accounts, deposit checks, make transfers, ..."
14,2020-01-03,Pacific Life Insurance Company,Electronic,False,2.0,True,False,False,False,True,False,False,"Dec 5, 2022 ... ... Company; Johnson Controls Foundation; The Kroger Co. Foundation; Liberty Mutual Insurance; Lockheed Martin Corporation; Mastercard; Merck ..."
15,2020-01-03,City of Holyoke Gas & Electric Department,Electronic,False,2500.0,False,False,False,True,True,False,False,"Jul 15, 2022 ... In one of the most ambitious efforts, Vistra Corp., a Texas-based power generation company that also owns a variety of power plants in ..."
16,2020-01-03,"Vivo Capital, LLC",Electronic,True,1.0,True,False,False,False,True,False,False,"Nov 2, 2022 ... Comments66 · Bolsonaro diz à CNN não ter acesso à íntegra de processo e cita Nicarágua e Bolívia | CNN ARENA · AO VIVO: CNN NOVO DIA - 30/10/2023."
17,2020-01-03,"States Logistics Services, Inc.",Electronic,True,1.0,False,True,False,False,True,False,False,"Sep 7, 2023 ... Cadres are groups of employees organized by type of work. These groups are based on skills and experience and play a key role in keeping ..."
18,2020-01-03,Energy One Federal Credit Union,Electronic,True,1.0,False,True,False,False,False,False,False,"Prepaid cards, loan type accounts, and temporary debit cards. Wells Fargo ... Energy One Federal Credit Union (OK); Energy Plus Credit Union (IN); Englewood ..."
19,2020-01-04,Greater Atlanta Christian School,Electronic,False,1.0,True,False,False,False,True,False,False,"Dec 25, 2021 ... Greater Atlanta Christian School students broke their own record for the annual Can-A- ... organizations conduct throughout the year. But it ..."
20,2020-01-04,"Florida Gulf Coast University Foundation, Inc.",Electronic,False,77.0,False,True,False,False,True,False,False,"Sep 9, 2022 ... The coalition, with the support of Aerospace Industries Association and American Institute of Aeronautics and Astronautics, will stand up three ..."
21,2020-01-05,"HelloTech, Inc.",Electronic,True,103.0,False,False,True,False,True,False,False,"... Organization, Inc. Loudspeaker assembly with restructured diaphragm ... Ltd Assembly-type single surrounding stereo structure. USD618203S1 2007-08-27 2010-06 ..."
22,2020-01-05,Somerset Berkley Regional High School,Electronic,True,85.0,True,False,True,True,True,False,False,"Oct 27, 2021 ... Also, Chloe Doehler, Somerset Berkley Regional High School, the BankFive Scholarship in memory of Dan Cabral; Kathryn Ann Silvia, Connolly ..."
23,2020-01-06,St. Mary's Credit Union,Electronic,False,119.0,False,True,False,True,False,False,False,"Easily access all of your accounts and features right at your fingertips with our mobile app. Manage your accounts, deposit checks, make transfers, ..."
