,Breach Type Description_Both,Breach Type Description_Electronic,Breach Type Description_Paper,Breach Type Description_Undefined,Date Reported To OCA,Organization Name,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen,Organization Categories
0,0.0,1.0,0.0,0.0,2007-08-16,Hewlett Packard Company,False,41.0,True,False,False,False,True,False,True,Technology
1,0.0,1.0,0.0,0.0,2007-09-11,Kraft Foods,False,41.0,True,False,False,False,True,False,True,Other
2,0.0,1.0,0.0,0.0,2007-09-12,The Hartford,False,18.0,True,True,False,False,True,False,False,Finance
3,0.0,0.0,0.0,1.0,2007-09-21,Symantec Corporation,False,1.0,True,False,False,False,True,False,False,Technology
5,0.0,1.0,0.0,0.0,2007-10-09,Daymon Worldwide Inc.,False,41.0,True,False,False,False,False,False,False,Corporation
6,0.0,1.0,0.0,0.0,2007-10-20,Blockbuster Video,False,41.0,False,False,True,True,False,False,True,Other
7,0.0,1.0,0.0,0.0,2007-10-26,American Academy of Pediatrics,False,7.0,True,False,False,False,True,False,True,Technology
8,0.0,1.0,0.0,0.0,2007-10-30,New England School of Law,False,41.0,True,False,False,False,False,False,False,Other
9,0.0,1.0,0.0,0.0,2007-11-03,MeadWestvaco,False,41.0,True,False,False,False,True,False,False,Corporation
10,0.0,0.0,1.0,0.0,2007-11-07,Computershare,False,2.0,True,True,False,False,True,True,False,Finance
11,0.0,0.0,0.0,1.0,2007-11-14,The Commonwealth of MA - Executive Office of Elder Affairs,False,2.0,False,True,False,False,False,False,False,Corporation
12,0.0,0.0,1.0,0.0,2007-11-16,The Horace Mann Companies,False,1.0,True,False,False,False,False,False,True,Finance
13,0.0,1.0,0.0,0.0,2007-11-16,Harvard University,False,41.0,True,False,False,False,False,False,False,Other
14,0.0,0.0,1.0,0.0,2007-11-23,General Cable,False,19.0,True,False,False,False,False,False,False,Technology
15,0.0,1.0,0.0,0.0,2007-11-26,Beth Israel Deaconess Family Medicine,False,41.0,True,False,False,False,False,False,False,Healthcare
16,0.0,1.0,0.0,0.0,2007-11-30,HellerEhrman LLP,False,1.0,True,False,False,False,True,False,True,Other
17,0.0,1.0,0.0,0.0,2007-12-03,Fidelity Investments,False,41.0,True,True,False,False,False,False,False,Finance
18,0.0,1.0,0.0,0.0,2007-12-03,"Oracle USA, Inc.",False,41.0,True,False,False,False,True,False,True,Technology
19,0.0,1.0,0.0,0.0,2007-12-03,Prudential Financial,False,41.0,True,True,False,False,True,False,False,Healthcare
20,0.0,0.0,1.0,0.0,2007-12-04,Ortho-Clinical Diganostics,False,23.0,True,False,False,False,False,False,False,Technology
21,0.0,0.0,1.0,0.0,2007-12-06,The Northwestern Mutual Life Insurance Company,False,3.0,True,False,False,False,True,False,False,Finance
22,0.0,1.0,0.0,0.0,2007-12-06,Northwestern Mutual,True,3.0,True,False,False,False,True,False,False,Finance
23,0.0,1.0,0.0,0.0,2007-12-17,"Peerless Industries, Inc.",False,33.0,False,False,False,True,False,True,True,Corporation
24,0.0,0.0,1.0,0.0,2007-12-18,"Forrester Research, Inc.",False,41.0,True,False,False,False,True,False,True,Technology
25,0.0,0.0,0.0,1.0,2007-12-18,210 Footwear Foundation,False,8.0,False,False,False,True,False,False,False,Corporation
26,0.0,0.0,1.0,0.0,2007-12-20,Family Health Center of Worcester,False,2.0,False,False,False,False,False,False,False,Healthcare
27,0.0,1.0,0.0,0.0,2007-12-20,UMass Memorial,False,3.0,False,True,False,True,False,False,False,Other
28,0.0,1.0,0.0,0.0,2007-12-21,Watertown Public Schools,False,41.0,True,False,False,False,False,False,True,Other
29,0.0,0.0,1.0,0.0,2007-12-21,HSBC Mortgage Corporation,False,41.0,True,False,False,False,True,False,False,Finance
30,0.0,1.0,0.0,0.0,2007-12-21,Fidelity Investments,False,4.0,True,False,False,False,True,False,False,Finance
31,0.0,0.0,1.0,0.0,2007-12-24,"Electrical Workers Deferred Income Fund Local 103, I.B.E.W",False,41.0,True,True,False,False,False,False,True,Technology
33,0.0,1.0,0.0,0.0,2008-01-09,Prudential Financial,False,13.0,False,True,False,False,True,False,False,Healthcare
34,0.0,1.0,0.0,0.0,2008-01-14,Robotic Industries Association,False,23.0,False,False,False,True,False,False,False,Corporation
35,0.0,1.0,0.0,0.0,2008-01-14,T. Rowe Price,False,41.0,True,False,False,False,True,False,True,Finance
36,0.0,1.0,0.0,0.0,2008-01-16,Franklin University,False,7.0,True,False,False,False,False,False,False,Other
37,0.0,1.0,0.0,0.0,2008-01-17,Northeastern Universtiy,False,41.0,True,False,False,False,False,False,False,Other
38,0.0,0.0,1.0,0.0,2008-01-18,Science Applications International Corporation,False,3.0,False,False,False,True,False,True,False,Technology
39,0.0,1.0,0.0,0.0,2008-01-23,Mariner Health Care,False,41.0,True,True,False,False,True,False,True,Technology
41,0.0,0.0,1.0,0.0,2008-01-25,Massachusetts General Physicians Organization (MGPO),False,1.0,True,False,False,False,False,False,False,Healthcare
42,0.0,1.0,0.0,0.0,2008-01-25,GE Aviation Systems,False,1.0,True,False,False,False,False,False,True,Technology
43,0.0,0.0,1.0,0.0,2008-01-25,Target Financial Services,False,16.0,True,False,False,True,True,False,False,Healthcare
44,0.0,1.0,0.0,0.0,2008-01-25,The Hartford,False,1.0,True,False,False,False,True,False,False,Finance
45,0.0,1.0,0.0,0.0,2008-01-25,Fallon Community Health Plan,False,41.0,True,False,False,False,True,False,True,Healthcare
46,0.0,1.0,0.0,0.0,2008-01-29,Comcast,False,7.0,False,False,False,True,True,False,False,Technology
47,0.0,1.0,0.0,0.0,2008-01-30,Philips Lighting Company,False,4.0,True,False,False,False,True,False,False,Corporation
48,0.0,1.0,0.0,0.0,2008-02-01,Kiwanis International,False,41.0,False,False,False,True,False,False,False,Corporation
51,0.0,1.0,0.0,0.0,2008-02-05,Canadian Standards Association (CSA),False,2.0,True,False,False,True,False,True,False,Technology
52,0.0,1.0,0.0,0.0,2008-02-05,"Administrative Systems, Inc.",False,41.0,True,False,False,False,False,False,True,Technology
53,0.0,1.0,0.0,0.0,2008-02-06,Putnam Investments,False,2.0,True,False,False,False,False,False,False,Finance
54,0.0,0.0,0.0,1.0,2008-02-06,LexisNexis,False,5.0,True,False,True,False,True,False,False,Technology
55,0.0,1.0,0.0,0.0,2008-02-07,D.A. Davidson & CO.,False,41.0,True,True,False,False,True,False,False,Finance
