,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
0,2007-08-16,Hewlett Packard Company,Electronic,False,52.0,True,False,False,False,True,False,True
1,2007-09-11,Kraft Foods,Electronic,False,460.0,True,False,False,False,True,False,True
2,2007-09-12,The Hartford,Electronic,False,18.0,True,True,False,False,True,False,False
3,2007-09-21,Symantec Corporation,Undefined,False,1.0,True,False,False,False,True,False,False
5,2007-10-09,Daymon Worldwide Inc.,Electronic,False,1416.0,True,False,False,False,False,False,False
6,2007-10-20,Blockbuster Video,Electronic,False,86.0,False,False,True,True,False,False,True
7,2007-10-26,American Academy of Pediatrics,Electronic,False,7.0,True,False,False,False,True,False,True
8,2007-10-30,New England School of Law,Electronic,False,2870.0,True,False,False,False,False,False,False
9,2007-11-03,MeadWestvaco,Electronic,False,586.0,True,False,False,False,True,False,False
10,2007-11-07,Computershare,Electronic,False,2.0,True,True,False,False,True,True,False
11,2007-11-14,The Commonwealth of MA - Executive Office of Elder Affairs,Paper,False,2.0,False,True,False,False,False,False,False
12,2007-11-16,The Horace Mann Companies,Undefined,False,1.0,True,False,False,False,False,False,True
13,2007-11-16,Harvard University,Paper,False,41.0,True,False,False,False,False,False,False
14,2007-11-23,General Cable,Electronic,False,19.0,True,False,False,False,False,False,False
15,2007-11-26,Beth Israel Deaconess Family Medicine,Paper,False,53.0,True,False,False,False,False,False,False
16,2007-11-30,HellerEhrman LLP,Electronic,False,1.0,True,False,False,False,True,False,True
17,2007-12-03,Fidelity Investments,Electronic,False,73.0,True,True,False,False,False,False,False
18,2007-12-03,"Oracle USA, Inc.",Electronic,False,78.0,True,False,False,False,True,False,True
19,2007-12-03,Prudential Financial,Electronic,False,954.0,True,True,False,False,True,False,False
20,2007-12-04,Ortho-Clinical Diganostics,Electronic,False,23.0,True,False,False,False,False,False,False
21,2007-12-06,The Northwestern Mutual Life Insurance Company,Paper,False,3.0,True,False,False,False,True,False,False
22,2007-12-06,Northwestern Mutual,Paper,True,3.0,True,False,False,False,True,False,False
23,2007-12-17,"Peerless Industries, Inc.",Electronic,False,33.0,False,False,False,True,False,True,True
24,2007-12-18,"Forrester Research, Inc.",Electronic,False,986.0,True,False,False,False,True,False,True
25,2007-12-18,210 Footwear Foundation,Paper,False,8.0,False,False,False,True,False,False,False
26,2007-12-20,Family Health Center of Worcester,Undefined,False,2.0,False,False,False,False,False,False,False
27,2007-12-20,UMass Memorial,Paper,False,3.0,False,True,False,True,False,False,False
28,2007-12-21,Watertown Public Schools,Electronic,False,499.0,True,False,False,False,False,False,True
29,2007-12-21,HSBC Mortgage Corporation,Electronic,False,219.0,True,False,False,False,True,False,False
30,2007-12-21,Fidelity Investments,Paper,False,4.0,True,False,False,False,True,False,False
31,2007-12-24,"Electrical Workers Deferred Income Fund Local 103, I.B.E.W",Electronic,False,9000.0,True,True,False,False,False,False,True
33,2008-01-09,Prudential Financial,Paper,False,13.0,False,True,False,False,True,False,False
34,2008-01-14,Robotic Industries Association,Electronic,False,23.0,False,False,False,True,False,False,False
35,2008-01-14,T. Rowe Price,Electronic,False,1369.0,True,False,False,False,True,False,True
36,2008-01-16,Franklin University,Electronic,False,7.0,True,False,False,False,False,False,False
37,2008-01-17,Northeastern Universtiy,Electronic,False,418.0,True,False,False,False,False,False,False
38,2008-01-18,Science Applications International Corporation,Electronic,False,3.0,False,False,False,True,False,True,False
39,2008-01-23,Mariner Health Care,Electronic,False,283.0,True,True,False,False,True,False,True
41,2008-01-25,Massachusetts General Physicians Organization (MGPO),Paper,False,1.0,True,False,False,False,False,False,False
42,2008-01-25,GE Aviation Systems,Electronic,False,1.0,True,False,False,False,False,False,True
43,2008-01-25,Target Financial Services,Electronic,False,16.0,True,False,False,True,True,False,False
44,2008-01-25,The Hartford,Paper,False,1.0,True,False,False,False,True,False,False
45,2008-01-25,Fallon Community Health Plan,Electronic,False,29641.0,True,False,False,False,True,False,True
46,2008-01-29,Comcast,Paper,False,7.0,False,False,False,True,True,False,False
47,2008-01-30,Philips Lighting Company,Electronic,False,4.0,True,False,False,False,True,False,False
48,2008-02-01,Kiwanis International,Electronic,False,226.0,False,False,False,True,False,False,False
51,2008-02-05,Canadian Standards Association (CSA),Electronic,False,2.0,True,False,False,True,False,True,False
52,2008-02-05,"Administrative Systems, Inc.",Electronic,False,3838.0,True,False,False,False,False,False,True
53,2008-02-06,Putnam Investments,Electronic,False,2.0,True,False,False,False,False,False,False
54,2008-02-06,LexisNexis,Electronic,False,5.0,True,False,True,False,True,False,False
55,2008-02-07,D.A. Davidson & CO.,Electronic,False,450.0,True,True,False,False,True,False,False
56,2008-02-07,Salesforce.com,Electronic,False,38.0,True,False,False,False,False,False,True
57,2008-02-08,Vanguard,Electronic,False,1.0,True,False,False,False,False,True,False
58,2008-02-08,Cross Country Staffing,Electronic,False,186.0,True,False,False,False,True,False,True
59,2008-02-08,"Cross Country Travcorps, Inc., NovaPro, Inc., and Assignment America, Inc. dba Cross Country Staffin",Undefined,False,186.0,True,False,False,False,True,False,False
60,2008-02-11,Sun Life Financial,Electronic,False,2.0,False,True,False,False,True,False,False
61,2008-02-11,Vanguard,Electronic,False,1.0,True,False,False,False,False,True,False
62,2008-02-13,Bank of America,Electronic,False,1.0,True,True,False,False,True,False,False
63,2008-02-14,MBSC Securities Corporation,Electronic,False,7.0,False,True,False,False,True,False,False
64,2008-02-14,SYDA Foundation,Electronic,False,42.0,False,False,False,True,False,False,False
65,2008-02-14,Mass. General Physicians Organization,Electronic,False,103.0,True,False,False,False,False,False,True
66,2008-02-14,Vanguard,Electronic,False,3.0,True,False,False,False,False,True,False
67,2008-02-15,The Hartford,Electronic,False,3.0,True,False,False,False,True,False,True
68,2008-02-15,Marlborough Hospital,Paper,False,20.0,True,True,False,False,False,False,False
69,2008-02-19,QVC,Electronic,False,1.0,False,True,False,True,False,False,False
70,2008-02-19,J. Lohr Vineyards & Wines,Electronic,False,3.0,True,True,False,False,True,False,True
71,2008-02-19,The Commonwealth of MA - DOE,Electronic,False,263.0,True,False,False,False,False,False,True
72,2008-02-25,Philips Lighting Company,Electronic,False,44.0,True,False,False,False,True,False,True
73,2008-02-27,Republic Bank & Trust Company,Electronic,False,68.0,True,False,False,False,False,False,False
74,2008-02-27,Nestle Waters North America Inc.,Electronic,False,495.0,True,False,False,False,True,False,True
75,2008-02-29,Boston Private Bank & Trust Company,Paper,False,1.0,True,True,False,True,False,False,False
76,2008-03-03,Massachusetts Mutual Life Insurance Company,Paper,False,1.0,True,False,False,False,False,False,False
77,2008-03-05,Vanguard,Paper,False,1.0,False,True,False,False,False,False,False
78,2008-03-05,Kraft Foods,Electronic,False,224.0,True,False,False,False,True,False,True
79,2008-03-06,"LEAF Financial Corporation Merit Capital Advance, LLC",Electronic,False,3.0,True,False,False,False,False,False,True
80,2008-03-06,Vanguard,Electronic,False,1.0,False,True,False,False,False,False,False
81,2008-03-07,Vanguard,Paper,False,1.0,True,False,False,False,False,False,False
82,2008-03-07,Education Management Corporation,Electronic,False,3.0,True,False,False,False,False,False,True
83,2008-03-10,Starling Insurance and Associates,Electronic,False,19.0,True,False,False,False,True,False,True
84,2008-03-11,"F.A. Carmichael  Dentistry, Inc.",Electronic,False,1015.0,True,False,False,False,False,False,True
85,2008-03-11,Priority Health,Electronic,False,13.0,True,False,False,False,False,False,False
86,2008-03-11,The Commonwealth of MA - DOE,Electronic,False,1015.0,True,False,False,False,False,False,True
87,2008-03-11,Wolters Kluwer,Electronic,False,60.0,False,False,False,True,True,False,False
88,2008-03-12,Harvard University,Electronic,False,1378.0,True,False,False,False,False,False,False
89,2008-03-12,MTV Networks,Electronic,False,10.0,True,False,False,False,True,False,False
90,2008-03-12,The Dental Network,Electronic,False,15.0,True,False,False,False,True,False,False
91,2008-03-12,The Dental Network,Electronic,True,15.0,True,False,False,False,False,False,False
92,2008-03-13,Lasell College,Electronic,False,10673.0,True,False,False,True,False,False,False
93,2008-03-13,MTV Networks,Electronic,False,1954.0,True,False,False,False,True,False,True
94,2008-03-14,3M,Electronic,False,25.0,True,False,False,False,True,False,True
95,2008-03-14,"Toshiba America Information Systems,Inc.",Electronic,False,1.0,False,False,False,True,True,False,False
96,2008-03-18,Northeast Investors Trust and Investors Growth Fund,Electronic,False,5.0,True,True,False,False,False,False,False
97,2008-03-20,"Griffin Electric, Inc.",Electronic,False,380.0,True,False,False,False,True,False,True
98,2008-03-20,Camp Starfish,Electronic,False,30.0,True,False,False,False,False,False,False
99,2008-03-21,"Toshiba America Information Systems, Inc.",Electronic,False,18.0,True,False,False,False,True,False,False
100,2008-03-21,Genworth Finanical,Electronic,False,10.0,True,False,False,False,True,False,True
101,2008-03-21,Genica Corporation,Electronic,False,0.0,False,False,False,True,False,False,False
102,2008-03-24,"Pfizer, Inc.",Electronic,False,15.0,False,False,False,True,True,False,True
103,2008-03-24,CitiBank,Electronic,False,19.0,False,False,False,True,True,False,False
104,2008-03-24,"Merrimack Mortgage Company, Inc.",Paper,False,2.0,True,False,False,False,True,False,False
105,2008-03-24,Zurich American Insurance Company,Electronic,False,19.0,False,False,False,False,True,False,False
106,2008-03-25,Genworth Life and Annuity Insurance Company,Electronic,False,10.0,True,False,False,False,True,False,True
108,2008-03-26,"Infinity Pharmaceuticals, Inc.",Electronic,False,206.0,True,False,False,False,True,False,True
109,2008-03-27,"THQ, Inc.",Electronic,False,99.0,True,True,False,False,True,False,True
110,2008-03-27,Museum of Science,Electronic,False,128.0,False,False,False,True,True,False,False
111,2008-03-28,"Eastern Sales & Marketing, New England",Paper,False,69.0,True,True,False,False,False,False,False
113,2008-03-28,Men's Warehouse,Paper,False,4.0,True,False,False,False,True,False,False
114,2008-03-28,Bank of New York Mellon Shareowner Services,Electronic,False,5989.0,True,True,False,False,True,False,True
115,2008-03-31,"Marriott International, Inc.",Electronic,False,3.0,True,False,False,False,True,False,True
116,2008-03-31,Synovus Financial Corp.,Electronic,False,1.0,True,True,False,False,True,False,True
117,2008-03-31,CitiStreet LLC,Electronic,False,6.0,True,False,False,False,True,False,True
118,2008-03-31,Citizens Bank,Paper,False,450.0,False,True,False,False,True,False,False
119,2008-04-02,UniCare,Electronic,False,29.0,True,False,False,False,True,False,False
120,2008-04-02,Sentinel Benefits,Paper,False,10.0,True,False,False,False,True,False,False
122,2008-04-04,Unicare,Electronic,False,29.0,True,False,False,False,True,False,False
123,2008-04-05,International IOR Rectifier,Electronic,False,324.0,True,False,False,False,False,False,True
124,2008-04-07,Siemens Healthcare Diagnostics Inc.,Electronic,False,15.0,True,False,False,False,True,False,True
125,2008-04-08,GMAC Insurance,Electronic,False,1.0,True,False,False,False,True,False,True
