Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen,,,
28815,1/3/2023,The Village Bank,Electronic,,1,,,,Yes,,,,,,
28819,1/3/2023,Bank of America,Electronic,Yes,1,Yes,Yes,Yes,,Yes,,,,,
28820,1/3/2023,"Maple Leaf Foods, Inc.",Electronic,Yes,121,Yes,Yes,Yes,Yes,Yes,,,,,
28824,1/3/2023,Live Oak Surgery Center,Electronic,Yes,2,Yes,,Yes,,Yes,,,,,
28825,1/3/2023,Vision Technologies,Electronic,Yes,2,Yes,,,,Yes,,,,,
28858,1/3/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
28859,1/3/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
28860,1/3/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
28826,1/4/2023,Jacob¶s Ladder Neurodevelopmental School & Therapy Center,Electronic,Yes,1,,,,,Yes,,,,,
28827,1/4/2023,"OneAmerica Financial Partners, Inc./ The State Life Insurance Company",Electronic,Yes,35,Yes,Yes,Yes,Yes,Yes,,,,,
28828,1/5/2023,Watertown Savings Bank,Electronic,,70,,,,Yes,,,,,,
28829,1/5/2023,"Affiliated Management, Inc",Electronic,Yes,9,Yes,,Yes,,Yes,,,,,
28831,1/5/2023,Financial Partners Group,Electronic,Yes,4,Yes,,Yes,,Yes,,,,,
28832,1/5/2023,Knox College,Electronic,Yes,395,Yes,,Yes,,Yes,,,,,
28833,1/5/2023,Jarrett & Luitjens,Electronic,,4,Yes,,,,Yes,,,,,
28842,1/6/2023,Cape Cod Five,Paper,Yes,2,,,,Yes,,,,,,
28843,1/6/2023,Cape Cod Five,Electronic,Yes,2,,Yes,,,,,,,,
28835,1/6/2023,Cape Cod Five,Electronic,Yes,2,,Yes,,,,,,,,
28836,1/6/2023,WINCHESTER SAVINGS BANK,Electronic,,18,,,,Yes,,,,,,
28837,1/6/2023,"JPMorgan Chase Bank, N.A.",Electronic,Yes,1,,Yes,,,,,,,,
28838,1/6/2023,Fidelity Business Services Group,Electronic,Yes,1,Yes,,Yes,,Yes,,,,,
28839,1/6/2023,Universal Music Group,Electronic,,1,,Yes,,,Yes,,,,,
28840,1/9/2023,"Integrity Financial Services Group, LLC",Electronic,Yes,3,Yes,Yes,,,Yes,,,,,
28841,1/9/2023,Whitman-Hanson Regional School District,Electronic,Yes,1510,Yes,Yes,,,Yes,,,,,
28844,1/9/2023,Webster Five Cents Savings Bank,Electronic,,4,,,,Yes,,,,,,
28845,1/9/2023,Lee Kennedy Company,Electronic,Yes,1422,Yes,Yes,,,Yes,,,,,
28846,1/9/2023,"Meriplex Communications, LTD.",Electronic,Yes,6,Yes,,,,Yes,,,,,
28861,1/9/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
28862,1/9/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
28863,1/9/2023,Mutual Once Bank,Electronic,,1,,,,Yes,,,,,,
28864,1/9/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
28865,1/9/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
28866,1/9/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
28867,1/9/2023,"RiverSource, LLC",Electronic,Yes,17,Yes,Yes,Yes,,Yes,,,,,
28847,1/10/2023,Rockland Trust,Paper,Yes,1,,Yes,,,Yes,,,,,
28848,1/10/2023,Maternal and Family Health Services,Electronic,Yes,224,Yes,Yes,Yes,,Yes,,,,,
28849,1/10/2023,"American Express Travel Related Services Company, Inc.",Electronic,,1,,,,Yes,,,,,,
28850,1/10/2023,"Gramercy Risk Management, LLC",Electronic,Yes,1,Yes,,,,Yes,,,,,
28851,1/10/2023,"Corporate Interiors, Inc.",Electronic,Yes,2,Yes,,,,Yes,,,,,
28852,1/10/2023,"Community Psychiatry Management, LLC, dba Mindpath Health",Electronic,Yes,61,Yes,,,,Yes,,,,,
28853,1/10/2023,"AUS, Inc.",Electronic,Yes,3,Yes,,,,Yes,,,,,
28834,1/10/2023,"American Express Travel Related Services Company, Inc.",Electronic,,11,,,,Yes,,,,,,
28884,1/10/2023,The Commonwealth of Massachusetts Department of Revenue,Electronic,Yes,1,Yes,,Yes,,Yes,,,,,
28868,1/11/2023,"American Express Travel Related Services Company, Inc.",Electronic,,1,,,,Yes,,,,,,
28869,1/11/2023,"American Express Travel Related Services Company, Inc.",Electronic,,508,,,,Yes,,,,,,
28870,1/11/2023,"Intrado Corporation, West Technology Group, LLC",Electronic,Yes,147,Yes,,Yes,,Yes,,,,,
28871,1/11/2023,Massachusetts General Hospital,Paper,Yes,1,,Yes,,,,,,,,
28872,1/11/2023,"JPMorgan Chase Bank, N.A.",Electronic,Yes,1,,Yes,,,,,,,,
28873,1/12/2023,Adams Community Bank,Electronic,,1,,,,Yes,,,,,,
28874,1/12/2023,SAVERS BANK,Electronic,,1,,,,Yes,,,,,,
28876,1/12/2023,"DPP II, LLC",Electronic,Yes,23,Yes,,Yes,,Yes,,,,,
28877,1/12/2023,"Vincent Fister, Inc.",Electronic,Yes,1,Yes,Yes,Yes,,,,,,,
28878,1/12/2023,SAVERS BANK,Electronic,,1,,,,Yes,,,,,,
29523,1/12/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
28879,1/13/2023,WINCHESTER SAVINGS BANK,Electronic,,9,,,,Yes,,,,,,
28875,1/13/2023,Hussey Gay Bell,Electronic,Yes,1,Yes,Yes,,,Yes,,,,,
28882,1/13/2023,US Polymers-Accurez LLC,Electronic,Yes,1,Yes,,,,Yes,,,,,
28883,1/13/2023,Haartz Corporation,Electronic,Yes,1398,Yes,,,,Yes,,,,,
29413,1/14/2023,"Lincoln Retirement Services Company, LLC",Electronic,Yes,238,Yes,Yes,,,Yes,,,,,
28880,1/16/2023,"Midjit Market, Inc. dba Green Valley Grocery",Electronic,Yes,1,Yes,,,,Yes,,,,,
28881,1/17/2023,The Village Bank,Electronic,Yes,1,,,,Yes,,,,,,
28885,1/17/2023,Eastern Bank,Electronic,,52,,,,Yes,,,,,,
28886,1/17/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
28887,1/17/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
28888,1/17/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
28889,1/17/2023,The Cooperative Bank of Cape Cod,Electronic,,526,,,,Yes,,,,,,
28890,1/17/2023,MTC Holsters LLC d/b/a Crossbreed Holsters,Electronic,Yes,84,,,,Yes,,,,,,
28892,1/17/2023,David Yurman Enterprises LLC,Electronic,Yes,1,,Yes,,,,,,,,
28893,1/17/2023,"American Express Travel Related Services Company, Inc.",Electronic,,2,,,,Yes,,,,,,
28894,1/18/2023,"Automotive Services Network, Inc.",Electronic,Yes,11,Yes,,,,Yes,,,,,
28895,1/18/2023,"PayPal, Inc.",Electronic,Yes,630,Yes,,,,Yes,,,,,
28896,1/18/2023,"Ipog, Inc. d/b/a Illegal Pete¶s LLC",Electronic,Yes,1,Yes,,,,Yes,,,,,
28897,1/18/2023,SAVERS BANK,Electronic,,1,,,,Yes,,,,,,
28916,1/18/2023,Members Trust of the Southwest Federal Credit Union,Electronic,Yes,1,Yes,Yes,,,Yes,,,,,
28891,1/18/2023,Rockland Trust,Paper,,116,,Yes,,,Yes,,,,,
28899,1/18/2023,Farmers Investment Co.,Electronic,Yes,19,Yes,Yes,Yes,,Yes,,,,,
28900,1/18/2023,"Hufcor Holdings, Inc.",Electronic,Yes,5,Yes,Yes,,,Yes,,,,,
28901,1/18/2023,"Samuels & Son Seafood Co., Inc.",Electronic,Yes,1,Yes,Yes,Yes,,Yes,,,,,
28902,1/19/2023,Mass General Brigham,Electronic,Yes,1,,,,,,,,,,
28903,1/19/2023,The Denver Wholesale Florists Company,Electronic,Yes,1,Yes,,Yes,,Yes,,,,,
28904,1/19/2023,"Wells Fargo Clearing Services, LLC",Electronic,Yes,2,,Yes,,,Yes,,,,,
28905,1/19/2023,Digital Prospectors Corp.,Electronic,Yes,198,Yes,Yes,,,Yes,,,,,
28906,1/19/2023,"The City of Fairburn, Georgia",Electronic,Yes,1,Yes,Yes,,,Yes,,,,,
28898,1/19/2023,"American Express Travel Related Services Company, Inc.",Electronic,,213,,,,Yes,,,,,,
28907,1/20/2023,WINCHESTER SAVINGS BANK,Electronic,,25,,,,Yes,,,,,,
28908,1/20/2023,"JPMorgan Chase Bank, N.A.",Electronic,Yes,1,,Yes,,Yes,Yes,,,,,
28909,1/20/2023,"Dr. Scott B. Klimaj, Inc.",Electronic,Yes,46,Yes,,,,Yes,,,,,
28910,1/20/2023,Guardian News & Media Limited,Electronic,Yes,1,Yes,Yes,,,Yes,,,,,
28911,1/20/2023,Jackson Lewis PC,Electronic,Yes,2301,Yes,,,,Yes,,Yes,,,
28912,1/20/2023,Eurasia Group,Electronic,Yes,13,Yes,Yes,,,Yes,,,,,
28913,1/20/2023,Bank of Eastern Oregon,Electronic,Yes,1,Yes,,,,Yes,,,,,
28914,1/23/2023,Brown Brothers Harriman,Paper,Yes,1,Yes,,,,Yes,,,,,
28915,1/23/2023,Bank of America,Electronic,Yes,5,Yes,Yes,Yes,Yes,Yes,,,,,
28919,1/23/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
28920,1/23/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
28921,1/24/2023,"American Express Travel Related Services Company, Inc.",Electronic,,4,,,,Yes,,,,,,
28917,1/24/2023,"Med Pay Partners, LLC",Paper,Yes,6,Yes,,,,Yes,,,,,
28918,1/24/2023,Mount Auburn Hospital,Electronic,Yes,19,Yes,,,,Yes,,,,,
28922,1/25/2023,The Lincoln National Life Insurance Company,Electronic,Yes,2,Yes,Yes,,,Yes,,,,,
28923,1/25/2023,"Messer Cutting Systens, Inc.",Electronic,Yes,1,Yes,,Yes,,Yes,,,,,
28924,1/25/2023,TekLink International Inc.,Electronic,Yes,3,Yes,Yes,,,Yes,,,,,
28929,1/25/2023,Andrews McMeel Universal,Electronic,Yes,141,Yes,Yes,Yes,Yes,Yes,,,,,
28930,1/25/2023,Patriot Bank,Electronic,Yes,3,Yes,,,,Yes,,,,,
28927,1/25/2023,Indianapolis Housing Agency,Electronic,Yes,72,Yes,,,,Yes,,,,,
28928,1/26/2023,"CommuteAir, LLC",Electronic,Yes,6,Yes,,,,Yes,,,,,
28931,1/26/2023,Steele Solutions,Electronic,Yes,2,Yes,Yes,,,Yes,,,,,
28932,1/26/2023,DraftKings Inc.,Electronic,Yes,1708,,,,Yes,,,,,,
28933,1/26/2023,"Morgan Industrial, Inc. dba Omega Morgan",Electronic,Yes,2,Yes,Yes,Yes,,Yes,,,,,
28934,1/26/2023,"Thread Bancorp, Inc",Electronic,Yes,4,Yes,Yes,Yes,,Yes,,,,,
28935,1/26/2023,Niagara County Department of Mental Health and Substance Abuse Services,Electronic,Yes,1,,,,,Yes,,,,,
28936,1/26/2023,"Phase Change Software, LLC",Electronic,Yes,1,Yes,Yes,,,Yes,,,,,
28937,1/26/2023,Matco Tools,Electronic,Yes,82,Yes,Yes,Yes,,Yes,,,,,
28940,1/26/2023,Stratford University,Electronic,Yes,76,Yes,,,,Yes,,,,,
28925,1/26/2023,The Village Bank,Electronic,,1,,,,Yes,,,,,,
28926,1/26/2023,Lutheran Social Services of Illinois,Electronic,Yes,33,Yes,Yes,,,Yes,,,,,
28941,1/27/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
28942,1/27/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
28943,1/27/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
28944,1/27/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
28945,1/27/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
28946,1/27/2023,Rev-A-Shelf,Electronic,Yes,79,,Yes,,Yes,Yes,,,,,
28947,1/27/2023,Howard Memorial Hospital,Electronic,Yes,3,Yes,,,,Yes,,,,,
28948,1/27/2023,PHH Mortgage Corporation,Paper,Yes,1,,Yes,,,Yes,,,,,
28938,1/27/2023,"American Express Travel Related Services Company, Inc.",Electronic,,36,,,,Yes,,,,,,
28939,1/27/2023,WINCHESTER SAVINGS BANK,Electronic,,9,,,,Yes,,,,,,
28950,1/27/2023,"Argon Medical Devices, Inc.",Electronic,Yes,2,Yes,,,,Yes,,,,,
28951,1/30/2023,"Zemenick & Walker, Inc.",Electronic,Yes,8,,Yes,,,Yes,,,,,
28952,1/30/2023,Vice Media LLC,Electronic,Yes,35,Yes,Yes,Yes,Yes,Yes,,,,,
28953,1/30/2023,"JPMorgan Chase Bank, N.A.",Electronic,Yes,1,,Yes,,,,,,,,
28954,1/30/2023,Zenith American Solutions,Paper,Yes,3,Yes,,,,Yes,,,,,
28955,1/30/2023,"Air T, Inc.",Electronic,Yes,2,Yes,Yes,,,Yes,,,,,
28956,1/30/2023,"Citibank, N.A.",Electronic,Yes,1,Yes,Yes,,Yes,Yes,,,,,
28949,1/30/2023,R.C. Stevens Construction Co.,Electronic,Yes,1,Yes,,Yes,,Yes,,,,,
28957,1/31/2023,Community Involved in Sustaining Agriculture,Electronic,Yes,1,Yes,,,,Yes,,,,,
28958,1/31/2023,"Woodbolt Distribution, LLC dba Nutrabolt",Electronic,Yes,5,Yes,,Yes,,Yes,,,,,
28959,1/31/2023,Mass General Brigham,Electronic,Yes,1,,,,,,,,,,
28960,1/31/2023,Main Street Bank,Electronic,Yes,1,,,,Yes,,,,,,
28964,1/31/2023,Wings Etc.,Electronic,Yes,29,,,,Yes,Yes,,,,,
28965,1/31/2023,"Acorn Financial Services, Inc.",Electronic,Yes,7,Yes,Yes,Yes,,Yes,,,,,
28966,1/31/2023,Bellevue Private Wealth LLC,Electronic,Yes,1,Yes,,,,Yes,,,,,
28967,2/1/2023,Webster Five Cents Savings Bank,Electronic,,3,,,,Yes,,,,,,
28968,2/1/2023,Les Entreprises La Canadienne Inc.,Electronic,Yes,4,,,,Yes,Yes,,,,,
28961,2/1/2023,Rockland Trust,Electronic,Yes,1,,Yes,,,Yes,,,,,
28962,2/1/2023,"Agilix Solutions, LLC",Electronic,Yes,3,Yes,,Yes,,,,,,,
28963,2/1/2023,Rockland Trust,Both,,1,,Yes,,,Yes,,,,,
28969,2/2/2023,St. Marys Credit Union,Electronic,,3,,,,Yes,,,,,,
28970,2/2/2023,"The Massachusetts League of Community Health Centers, Inc.",Electronic,Yes,0,Yes,,,,Yes,,,,,
28972,2/2/2023,"Waller Lansden Dortch & Davis, LLP",Electronic,Yes,5,Yes,,Yes,,Yes,,,,,
28973,2/2/2023,"GRM Information Management Services, Inc.",Electronic,,3,Yes,,,,Yes,,,,,
28974,2/3/2023,Adams Community Bank,Electronic,,6,,,,Yes,,,,,,
28975,2/3/2023,Cardiovascular Associates,Electronic,Yes,188,Yes,Yes,Yes,,Yes,,,,,
28976,2/3/2023,RBC Ministries dba Our Daily Bread Ministries,Electronic,Yes,108,,,,Yes,,,,,,
28977,2/3/2023,SAVERS BANK,Electronic,,2,,,,Yes,,,,,,
28978,2/3/2023,Town of West Springfield,Paper,Yes,1,Yes,,,,Yes,,,,,
28979,2/3/2023,The Village Bank,Electronic,,1,,,,Yes,,,,,,
28980,2/3/2023,The Village Bank,Electronic,,2,,,,Yes,,,,,,
28981,2/3/2023,"TracFone Wireless, Inc.",Electronic,Yes,3,,,,Yes,Yes,,,,,
28971,2/3/2023,WINCHESTER SAVINGS BANK,Electronic,,9,,,,Yes,,,,,,
28982,2/6/2023,Main Street Bank,Electronic,,1,,,,Yes,,,,,,
28983,2/6/2023,"Unique Surety and Insurance Services, LLC",Electronic,Yes,1,Yes,Yes,Yes,Yes,Yes,,,,,
28984,2/6/2023,Commonwealth of Massachusetts Department of Transitional Assistance,Electronic,Yes,2,Yes,,,,,,,,,
28985,2/6/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
28986,2/6/2023,Spaulding Rehabilitation Network,Electronic,Yes,1,,,,,Yes,,,,,
28987,2/6/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
28988,2/6/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
